label,n,greedy_value,brute_value,dp_value,greedy_ms,brute_ms,dp_linear_ms,dp_binary_ms
example,6,220,250,250,0.0303,0.0798,0.0044,0.0023
example,6,220,250,250,0.021,0.0329,0.0028,0.0013
